Post ID,Subject,Details,Created At,Edition,Platform,Question Tags,State,Reply,Replied At
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,"I &quot;think&quot; I know how to do this. Im reading IRS Pub 970 while waiting for you to respond to my questions here.<br/>Is the student a high school graduate? I ask, because of the age. For the BSN (just for clarification) the student is an undergraduate, right? No 4 year degree yet? (WOuld be great if a 17 yr old had that,huh?) I just need to confirm it.<br/>is this dependent your child? Grand child? Other relative? Again, need to confirm. Also,<br/>Is the dependent under the age of 24 (yes they are) AND<br/>is the dependent at least&quot; a half-time student AND<br/>The other qualification questions, I know the answer already.",3/17/13 3:14
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,"Yes, she is 17 &amp; has taken 2yrs towards her bsn while in high school. Daughter, no father. She took enough this year they marked her as over half time",3/17/13 3:19
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,Baylor wants her but they wont give enough finacial aid. Normally dont file. Just waited to see her graduate this yr. She needs that $500 in income tax but i think she would do better with credit,3/17/13 3:22
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,"Unlike the other refundable credits, the American Opportunity Credit is not based on earned income. If your daughter qualifies as your dependent, you can file a return and claim the tuition credit. Not only do you not need any earned income, you do not need any taxable income either.Therefundableportionis up to $1000. You must be out-of-pocket (or paid with loans) at least $4000 to get the max $1000. The payment made on Dec 21 counts for 2012.<br><br>You do not need to get a corrected 1098-T, if your own records are accurate.<br><br><br>",3/17/13 3:23
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,if it makes difference she will have her bsn in about 2 yrs,3/17/13 3:24
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,"Just to clarify (Im still checking the IRS Pub - its long) was she a High Scholl graduate in 2012? Also, the child support you are receiving, is that from the students legal father? I ask, because the legal father &quot;might&quot; be the one eligible for the credits, since shes under 17.",3/17/13 3:32
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,"No, that makes no difference.&nbsp;&nbsp;&quot; Has taken 2yrs towards her bsn while in high school&quot; does not qualify for the American Opportunity credit and its $1000 refundable feature. Theres nothing for you to file for. She is not eligible for that credit on her own return either. &quot; i think she would do better with credit&quot; is probably not likely. If her income for 2012 was more than $9750, there is a small credit that might reduce her tax liability, but there is no refundable credit available for her either.",3/17/13 3:33
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,"I just ran this through TT as if I were the mom with no taxable income figuring 15K of SSA-1099 income only (which is not taxable) and mom only qualifies for the tuition credit. But since she pays no taxes, she doesnt get anything back. Im getting ready to do this from the daughters perspective. But Im still reading the pub, to see if theres a dependency exception for the daughter, when the parent is on SSI or other disability.<br/>Im also waiting to see if the child support is from the legal father, and reading to see if thats who gets to file the 1098-T, since &quot;technically&quot; he helps pay the education with the child support money the father pays taxes on.",3/17/13 3:42
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,she made $4310,3/17/13 3:59
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,My SSA is 6400... arent we the people tax cuts are supposed to help,3/17/13 4:05
1789602,Education credits when small income untaxable & child is dependent,"Disabled single mom. Get SSA SSI &amp; child support. All untaxable.17 yr old dep, taking college courses for 2yrs for BSN degree. Had part time job helped pay 4 enough classes to qualify. Got 1098-T &amp; stumped. College said we qualify for education credits, how? Shes not required to file but needs $500 paid in. How do i get credit on return with no taxable income? Only dep has earned income. We also paid her last tuition on, Dec 21, last day allowed. They cashed January 2, 2013. Made1098-T $1500 short, with incorrect amount billed, no payment amount. If i get it corrected how do we file?",3/17/13 3:09,,,"1098-t, child support, credits",archived,"her &quot;father&quot; wouldnt help her if he saw her drowning. If he gets a credit at all for the lil bit hes had to give her to stay out of jail, then i give completely up. I wish i understood better",3/17/13 4:08
